Date_ID,date,hour,maxtemp_f,mintemp_f,avgtemp_f,totalprecip_in,avghumidity,day_condition,hour_temp_f,hour_condition,hour_precip_in,hour_humidity
133,2022-02-11,1:00PM,55.9,34.7,46.3,0.0,64.0,Sunny,52.1,Sunny,0.0,48
134,2022-02-11,2:00PM,55.9,34.7,46.3,0.0,64.0,Sunny,54.0,Sunny,0.0,46
135,2022-02-11,3:00PM,55.9,34.7,46.3,0.0,64.0,Sunny,55.9,Sunny,0.0,44
136,2022-02-11,4:00PM,55.9,34.7,46.3,0.0,64.0,Sunny,55.5,Sunny,0.0,48
137,2022-02-11,5:00PM,55.9,34.7,46.3,0.0,64.0,Sunny,55.1,Sunny,0.0,52
138,2022-02-11,6:00PM,55.9,34.7,46.3,0.0,64.0,Sunny,54.7,Clear,0.0,55
139,2022-02-11,7:00PM,55.9,34.7,46.3,0.0,64.0,Sunny,52.8,Clear,0.0,60
140,2022-02-11,8:00PM,55.9,34.7,46.3,0.0,64.0,Sunny,51.0,Clear,0.0,65
141,2022-02-11,9:00PM,55.9,34.7,46.3,0.0,64.0,Sunny,49.1,Clear,0.0,71
142,2022-02-11,10:00PM,55.9,34.7,46.3,0.0,64.0,Sunny,49.4,Clear,0.0,70
143,2022-02-11,11:00PM,55.9,34.7,46.3,0.0,64.0,Sunny,49.7,Partly cloudy,0.0,69
144,2022-02-12,12:00AM,51.3,40.5,48.0,0.02,67.0,Overcast,50.0,Partly cloudy,0.0,69
145,2022-02-12,1:00AM,51.3,40.5,48.0,0.02,67.0,Overcast,49.4,Partly cloudy,0.0,70
146,2022-02-12,2:00AM,51.3,40.5,48.0,0.02,67.0,Overcast,48.8,Partly cloudy,0.0,72
147,2022-02-12,3:00AM,51.3,40.5,48.0,0.02,67.0,Overcast,48.2,Partly cloudy,0.0,73
148,2022-02-12,4:00AM,51.3,40.5,48.0,0.02,67.0,Overcast,47.8,Partly cloudy,0.0,74
149,2022-02-12,5:00AM,51.3,40.5,48.0,0.02,67.0,Overcast,47.5,Overcast,0.0,75
150,2022-02-12,6:00AM,51.3,40.5,48.0,0.02,67.0,Overcast,47.1,Overcast,0.0,77
151,2022-02-12,7:00AM,51.3,40.5,48.0,0.02,67.0,Overcast,47.0,Overcast,0.0,78
152,2022-02-12,8:00AM,51.3,40.5,48.0,0.02,67.0,Overcast,46.9,Cloudy,0.0,80
153,2022-02-12,9:00AM,51.3,40.5,48.0,0.02,67.0,Overcast,46.8,Cloudy,0.0,81
154,2022-02-12,10:00AM,51.3,40.5,48.0,0.02,67.0,Overcast,48.3,Cloudy,0.0,74
155,2022-02-12,11:00AM,51.3,40.5,48.0,0.02,67.0,Overcast,49.8,Partly cloudy,0.0,68
156,2022-02-12,12:00PM,51.3,40.5,48.0,0.02,67.0,Overcast,51.3,Partly cloudy,0.0,61
157,2022-02-12,1:00PM,51.3,40.5,48.0,0.02,67.0,Overcast,50.6,Partly cloudy,0.0,60
158,2022-02-12,2:00PM,51.3,40.5,48.0,0.02,67.0,Overcast,49.9,Overcast,0.0,59
159,2022-02-12,3:00PM,51.3,40.5,48.0,0.02,67.0,Overcast,49.3,Overcast,0.0,58
160,2022-02-12,4:00PM,51.3,40.5,48.0,0.02,67.0,Overcast,48.0,Overcast,0.0,57
161,2022-02-12,5:00PM,51.3,40.5,48.0,0.02,67.0,Overcast,46.8,Overcast,0.0,56
162,2022-02-12,6:00PM,51.3,40.5,48.0,0.02,67.0,Overcast,45.5,Overcast,0.0,55
163,2022-02-12,7:00PM,51.3,40.5,48.0,0.02,67.0,Overcast,43.8,Overcast,0.0,57
164,2022-02-12,8:00PM,51.3,40.5,48.0,0.02,67.0,Overcast,42.1,Light sleet,0.01,58
165,2022-02-12,9:00PM,51.3,40.5,48.0,0.02,67.0,Overcast,40.5,Light sleet,0.01,60
166,2022-02-12,10:00PM,51.3,40.5,48.0,0.02,67.0,Overcast,38.9,Light sleet,0.0,59
167,2022-02-12,11:00PM,51.3,40.5,48.0,0.02,67.0,Overcast,37.3,Moderate snow,0.0,58
168,2022-02-13,12:00AM,36.9,26.8,30.5,0.07,65.0,Heavy snow,35.8,Moderate snow,0.0,58
169,2022-02-13,1:00AM,36.9,26.8,30.5,0.07,65.0,Heavy snow,33.8,Moderate snow,0.0,68
170,2022-02-13,2:00AM,36.9,26.8,30.5,0.07,65.0,Heavy snow,31.8,Heavy snow,0.01,78
171,2022-02-13,3:00AM,36.9,26.8,30.5,0.07,65.0,Heavy snow,29.8,Heavy snow,0.02,88
172,2022-02-13,4:00AM,36.9,26.8,30.5,0.07,65.0,Heavy snow,29.0,Heavy snow,0.01,87
173,2022-02-13,5:00AM,36.9,26.8,30.5,0.07,65.0,Heavy snow,28.2,Heavy snow,0.01,86
174,2022-02-13,6:00AM,36.9,26.8,30.5,0.07,65.0,Heavy snow,27.3,Heavy snow,0.01,85
175,2022-02-13,7:00AM,36.9,26.8,30.5,0.07,65.0,Heavy snow,27.1,Heavy snow,0.01,82
176,2022-02-13,8:00AM,36.9,26.8,30.5,0.07,65.0,Heavy snow,27.0,Light snow,0.0,80
177,2022-02-13,9:00AM,36.9,26.8,30.5,0.07,65.0,Heavy snow,26.8,Light snow,0.0,78
178,2022-02-13,10:00AM,36.9,26.8,30.5,0.07,65.0,Heavy snow,27.2,Light snow,0.0,75
179,2022-02-13,11:00AM,36.9,26.8,30.5,0.07,65.0,Heavy snow,27.6,Light snow,0.0,73
180,2022-02-13,12:00PM,36.9,26.8,30.5,0.07,65.0,Heavy snow,28.0,Light snow,0.0,70
181,2022-02-13,1:00PM,36.9,26.8,30.5,0.07,65.0,Heavy snow,31.0,Light snow,0.0,62
182,2022-02-13,2:00PM,36.9,26.8,30.5,0.07,65.0,Heavy snow,33.9,Sunny,0.0,53
183,2022-02-13,3:00PM,36.9,26.8,30.5,0.07,65.0,Heavy snow,36.9,Sunny,0.0,44
184,2022-02-13,4:00PM,36.9,26.8,30.5,0.07,65.0,Heavy snow,35.7,Sunny,0.0,44
185,2022-02-13,5:00PM,36.9,26.8,30.5,0.07,65.0,Heavy snow,34.5,Overcast,0.0,44
186,2022-02-13,6:00PM,36.9,26.8,30.5,0.07,65.0,Heavy snow,33.3,Overcast,0.0,45
187,2022-02-13,7:00PM,36.9,26.8,30.5,0.07,65.0,Heavy snow,31.8,Overcast,0.0,46
188,2022-02-13,8:00PM,36.9,26.8,30.5,0.07,65.0,Heavy snow,30.4,Partly cloudy,0.0,48
189,2022-02-13,9:00PM,36.9,26.8,30.5,0.07,65.0,Heavy snow,28.9,Partly cloudy,0.0,50
190,2022-02-13,10:00PM,36.9,26.8,30.5,0.07,65.0,Heavy snow,29.4,Partly cloudy,0.0,46
191,2022-02-13,11:00PM,36.9,26.8,30.5,0.07,65.0,Heavy snow,29.8,Partly cloudy,0.0,42
192,2022-02-14,12:00AM,36.0,26.1,31.0,0.0,42.0,Overcast,30.2,Partly cloudy,0.0,38
193,2022-02-14,1:00AM,36.0,26.1,31.0,0.0,42.0,Overcast,29.6,Partly cloudy,0.0,40
194,2022-02-14,2:00AM,36.0,26.1,31.0,0.0,42.0,Overcast,29.0,Partly cloudy,0.0,41
195,2022-02-14,3:00AM,36.0,26.1,31.0,0.0,42.0,Overcast,28.4,Partly cloudy,0.0,42
196,2022-02-14,4:00AM,36.0,26.1,31.0,0.0,42.0,Overcast,27.9,Partly cloudy,0.0,42
197,2022-02-14,5:00AM,36.0,26.1,31.0,0.0,42.0,Overcast,27.4,Partly cloudy,0.0,42
198,2022-02-14,6:00AM,36.0,26.1,31.0,0.0,42.0,Overcast,27.0,Partly cloudy,0.0,42
199,2022-02-14,7:00AM,36.0,26.1,31.0,0.0,42.0,Overcast,26.7,Partly cloudy,0.0,42
200,2022-02-14,8:00AM,36.0,26.1,31.0,0.0,42.0,Overcast,26.4,Sunny,0.0,42
201,2022-02-14,9:00AM,36.0,26.1,31.0,0.0,42.0,Overcast,26.1,Sunny,0.0,42
202,2022-02-14,10:00AM,36.0,26.1,31.0,0.0,42.0,Overcast,27.6,Sunny,0.0,41
203,2022-02-14,11:00AM,36.0,26.1,31.0,0.0,42.0,Overcast,29.2,Overcast,0.0,40
204,2022-02-14,12:00PM,36.0,26.1,31.0,0.0,42.0,Overcast,30.7,Overcast,0.0,38
205,2022-02-14,1:00PM,36.0,26.1,31.0,0.0,42.0,Overcast,32.3,Overcast,0.0,37
206,2022-02-14,2:00PM,36.0,26.1,31.0,0.0,42.0,Overcast,33.9,Overcast,0.0,35
207,2022-02-14,3:00PM,36.0,26.1,31.0,0.0,42.0,Overcast,35.4,Overcast,0.0,34
208,2022-02-14,4:00PM,36.0,26.1,31.0,0.0,42.0,Overcast,35.6,Overcast,0.0,37
209,2022-02-14,5:00PM,36.0,26.1,31.0,0.0,42.0,Overcast,35.8,Cloudy,0.0,40
210,2022-02-14,6:00PM,36.0,26.1,31.0,0.0,42.0,Overcast,36.0,Cloudy,0.0,43
211,2022-02-14,7:00PM,36.0,26.1,31.0,0.0,42.0,Overcast,34.5,Cloudy,0.0,47
212,2022-02-14,8:00PM,36.0,26.1,31.0,0.0,42.0,Overcast,33.1,Cloudy,0.0,50
213,2022-02-14,9:00PM,36.0,26.1,31.0,0.0,42.0,Overcast,31.6,Cloudy,0.0,54
214,2022-02-14,10:00PM,36.0,26.1,31.0,0.0,42.0,Overcast,30.3,Cloudy,0.0,56
215,2022-02-14,11:00PM,36.0,26.1,31.0,0.0,42.0,Overcast,28.9,Clear,0.0,57
216,2022-02-15,12:00AM,43.3,26.4,35.5,0.0,53.0,Sunny,27.5,Clear,0.0,59
217,2022-02-15,1:00AM,43.3,26.4,35.5,0.0,53.0,Sunny,27.3,Clear,0.0,59
218,2022-02-15,2:00AM,43.3,26.4,35.5,0.0,53.0,Sunny,27.0,Clear,0.0,59
219,2022-02-15,3:00AM,43.3,26.4,35.5,0.0,53.0,Sunny,26.8,Clear,0.0,59
220,2022-02-15,4:00AM,43.3,26.4,35.5,0.0,53.0,Sunny,26.7,Clear,0.0,59
221,2022-02-15,5:00AM,43.3,26.4,35.5,0.0,53.0,Sunny,26.5,Clear,0.0,59
222,2022-02-15,6:00AM,43.3,26.4,35.5,0.0,53.0,Sunny,26.4,Clear,0.0,59
223,2022-02-15,7:00AM,43.3,26.4,35.5,0.0,53.0,Sunny,27.1,Sunny,0.0,57
224,2022-02-15,8:00AM,43.3,26.4,35.5,0.0,53.0,Sunny,27.7,Sunny,0.0,54
225,2022-02-15,9:00AM,43.3,26.4,35.5,0.0,53.0,Sunny,28.4,Sunny,0.0,52
226,2022-02-15,10:00AM,43.3,26.4,35.5,0.0,53.0,Sunny,31.5,Sunny,0.0,48
227,2022-02-15,11:00AM,43.3,26.4,35.5,0.0,53.0,Sunny,34.6,Sunny,0.0,43
228,2022-02-15,12:00PM,43.3,26.4,35.5,0.0,53.0,Sunny,37.8,Sunny,0.0,38
229,2022-02-15,1:00PM,43.3,26.4,35.5,0.0,53.0,Sunny,39.6,Sunny,0.0,38
230,2022-02-15,2:00PM,43.3,26.4,35.5,0.0,53.0,Sunny,41.5,Sunny,0.0,37
231,2022-02-15,3:00PM,43.3,26.4,35.5,0.0,53.0,Sunny,43.3,Sunny,0.0,36
232,2022-02-15,4:00PM,43.3,26.4,35.5,0.0,53.0,Sunny,42.7,Sunny,0.0,42
233,2022-02-15,5:00PM,43.3,26.4,35.5,0.0,53.0,Sunny,42.1,Sunny,0.0,47
234,2022-02-15,6:00PM,43.3,26.4,35.5,0.0,53.0,Sunny,41.5,Clear,0.0,52
235,2022-02-15,7:00PM,43.3,26.4,35.5,0.0,53.0,Sunny,38.4,Clear,0.0,57
236,2022-02-15,8:00PM,43.3,26.4,35.5,0.0,53.0,Sunny,35.2,Clear,0.0,62
237,2022-02-15,9:00PM,43.3,26.4,35.5,0.0,53.0,Sunny,32.0,Clear,0.0,67
238,2022-02-15,10:00PM,43.3,26.4,35.5,0.0,53.0,Sunny,31.3,Clear,0.0,66
239,2022-02-15,11:00PM,43.3,26.4,35.5,0.0,53.0,Sunny,30.6,Clear,0.0,66
240,2022-02-16,12:00AM,45.1,29.1,38.9,0.0,71.0,Overcast,29.8,Clear,0.0,65
241,2022-02-16,1:00AM,45.1,29.1,38.9,0.0,71.0,Overcast,29.6,Clear,0.0,68
242,2022-02-16,2:00AM,45.1,29.1,38.9,0.0,71.0,Overcast,29.4,Clear,0.0,70
243,2022-02-16,3:00AM,45.1,29.1,38.9,0.0,71.0,Overcast,29.1,Clear,0.0,72
